customer_id,first_name,last_name,email,registration_date
1,FirstName1,LastName1,customer1@example.com,2023-04-13
2,FirstName2,LastName2,customer2@example.com,2023-12-15
3,FirstName3,LastName3,customer3@example.com,2023-09-28
4,FirstName4,LastName4,customer4@example.com,2023-04-17
5,FirstName5,LastName5,customer5@example.com,2023-03-13
6,FirstName6,LastName6,customer6@example.com,2023-07-08
7,FirstName7,LastName7,customer7@example.com,2023-01-21
8,FirstName8,LastName8,customer8@example.com,2023-04-13
9,FirstName9,LastName9,customer9@example.com,2023-05-02
10,FirstName10,LastName10,customer10@example.com,2023-08-03
11,FirstName11,LastName11,customer11@example.com,2023-11-27
12,FirstName12,LastName12,customer12@example.com,2023-03-29
13,FirstName13,LastName13,customer13@example.com,2023-04-10
14,FirstName14,LastName14,customer14@example.com,2023-12-26
15,FirstName15,LastName15,customer15@example.com,2023-06-01
16,FirstName16,LastName16,customer16@example.com,2023-05-11
17,FirstName17,LastName17,customer17@example.com,2023-05-30
18,FirstName18,LastName18,customer18@example.com,2023-11-05
19,FirstName19,LastName19,customer19@example.com,2023-09-15
20,FirstName20,LastName20,customer20@example.com,2023-12-10
21,FirstName21,LastName21,customer21@example.com,2023-10-21
22,FirstName22,LastName22,customer22@example.com,2023-07-11
23,FirstName23,LastName23,customer23@example.com,2023-10-04
24,FirstName24,LastName24,customer24@example.com,2023-06-10
25,FirstName25,LastName25,customer25@example.com,2023-11-10
26,FirstName26,LastName26,customer26@example.com,2023-01-22
27,FirstName27,LastName27,customer27@example.com,2023-09-10
28,FirstName28,LastName28,customer28@example.com,2023-08-24
29,FirstName29,LastName29,customer29@example.com,2023-12-11
30,FirstName30,LastName30,customer30@example.com,2023-02-18
31,FirstName31,LastName31,customer31@example.com,2023-02-28
32,FirstName32,LastName32,customer32@example.com,2023-06-19
33,FirstName33,LastName33,customer33@example.com,2023-07-07
34,FirstName34,LastName34,customer34@example.com,2023-09-28
35,FirstName35,LastName35,customer35@example.com,2023-07-09
36,FirstName36,LastName36,customer36@example.com,2023-06-24
37,FirstName37,LastName37,customer37@example.com,2023-02-20
38,FirstName38,LastName38,customer38@example.com,2023-12-30
39,FirstName39,LastName39,customer39@example.com,2023-02-24
40,FirstName40,LastName40,customer40@example.com,2023-09-01
41,FirstName41,LastName41,customer41@example.com,2023-11-16
42,FirstName42,LastName42,customer42@example.com,2023-05-11
43,FirstName43,LastName43,customer43@example.com,2023-11-03
44,FirstName44,LastName44,customer44@example.com,2023-05-15
45,FirstName45,LastName45,customer45@example.com,2023-01-21
46,FirstName46,LastName46,customer46@example.com,2023-11-25
47,FirstName47,LastName47,customer47@example.com,2023-06-16
48,FirstName48,LastName48,customer48@example.com,2023-10-01
49,FirstName49,LastName49,customer49@example.com,2023-03-30
50,FirstName50,LastName50,customer50@example.com,2023-11-12
51,FirstName51,LastName51,customer51@example.com,2023-01-14
52,FirstName52,LastName52,customer52@example.com,2023-08-30
53,FirstName53,LastName53,customer53@example.com,2023-09-22
54,FirstName54,LastName54,customer54@example.com,2023-12-12
55,FirstName55,LastName55,customer55@example.com,2023-02-22
56,FirstName56,LastName56,customer56@example.com,2023-12-06
